Time,Score,Decision,Reasons,Patterns,Outcome
2025-07-28 01:39:12,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 01:41:47,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 01:44:42,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",🔴 Bearish Engulfing,Correct
2025-07-28 01:49:37,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 01:51:57,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 01:57:02,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",🟢 Bullish Engulfing,Correct
2025-07-28 01:59:54,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX","🌙 Inverted Hammer, 🟢 Bullish Engulfing",Correct
2025-07-28 02:05:02,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 02:36:11,2,⚠️ Wait – No High-Confidence Signal,"MACD Bullish, VWAP Above, Strong Trend ADX",🔢 Hammer,Correct
2025-07-28 03:02:28,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",,Correct
2025-07-28 03:03:20,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",Inverted Hammer,Incorrect
2025-07-28 03:05:55,1,⚠️ Wait – No High-Confidence Signal,"📉 MACD Bearish, 🔺 Price Above VWAP, 💪 Strong ADX Trend",📍 Inverted Hammer,Incorrect
2025-07-28 03:08:40,1,⚠️ Wait – No High-Confidence Signal,"📉 MACD Bearish, 🔺 Price Above VWAP, 💪 Strong ADX Trend",,Incorrect
