Time,Score,Decision,Reasons,Patterns
2025-07-28 01:39:12,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 01:41:47,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 01:44:42,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",🔴 Bearish Engulfing
2025-07-28 01:49:37,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 01:51:57,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 01:57:02,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",🟢 Bullish Engulfing
2025-07-28 01:59:54,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX","🌙 Inverted Hammer, 🟢 Bullish Engulfing"
2025-07-28 02:05:02,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 02:36:11,2,⚠️ Wait – No High-Confidence Signal,"MACD Bullish, VWAP Above, Strong Trend ADX",🔢 Hammer
2025-07-28 03:02:28,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",None
2025-07-28 03:03:20,1,⚠️ Wait – No High-Confidence Signal,"MACD Bearish, VWAP Above, Strong Trend ADX",Inverted Hammer
2025-07-28 03:05:55,1,⚠️ Wait – No High-Confidence Signal,"📉 MACD Bearish, 🔺 Price Above VWAP, 💪 Strong ADX Trend",📍 Inverted Hammer
2025-07-28 03:08:40,1,⚠️ Wait – No High-Confidence Signal,"📉 MACD Bearish, 🔺 Price Above VWAP, 💪 Strong ADX Trend",None
2025-07-28 03:14:12,1,❌ SELL Signal,"📉 MACD Bearish, 🔺 Price Above VWAP, 💪 Strong ADX Trend",None
2025-07-28 03:21:36,2,✅ BUY Signal,"📈 MACD Bullish, 🔹 Price Above VWAP, 💪 Strong ADX Trend",🟩 Bullish Engulfing
2025-07-28 11:18:28,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend",🟩 Bullish Engulfing
2025-07-28 11:18:45,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend",🟩 Bullish Engulfing
2025-07-28 11:53:25,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend",🟩 Bullish Engulfing
2025-07-28 12:02:14,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend","🔨 Hammer, 📍 Inverted Hammer"
2025-07-28 12:05:09,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend",🟩 Bullish Engulfing
2025-07-28 12:22:46,3,✅ BUY Signal,"📈 MACD Bullish, 🔻 Price Below VWAP (Buy Zone), 💪 Strong ADX Trend","🔨 Hammer, 📍 Inverted Hammer, 🔵 Bearish Engulfing"
2025-07-28 21:43:16,1,❌ SELL Signal,"📉 MACD Bearish, 🔻 Price Below VWAP (Buy Zone), 😴 Weak ADX Trend","🔨 Hammer, 📍 Inverted Hammer, 🔵 Bearish Engulfing"
2025-07-28 21:57:28,1,❌ SELL Signal,"📉 MACD Bearish, 🔻 Price Below VWAP (Buy Zone), 😴 Weak ADX Trend",None
